itemCode,itemDescription,averageCost,supplier,assortmentType
01110030004110,Pan de Coco,11.607100,Verleo Food Ent. (Chow Queen),In assortment
01110030004212,Free MD Buttered Toast for True Brew,8.035700,Deliscents, Inc,In assortment
01110030004595,TB-Ube Bean Bread,25.892900,TKYO BAKERY,In assortment
01110030004596,TB-Azuki Bean Bread,25.892900,TKYO BAKERY,In assortment
01110030004598,TB-Walnut Pan,25.892900,TKYO BAKERY,In assortment
01110030004749,Strawberry Cream Cake Sandwich,35.710000,ATASHA'S PASTRY STATION,Out of assortment
01110030004750,Milky Cake Cup,35.710000,ATASHA'S PASTRY STATION,In assortment
01110030004756,PR Brownies White Choco Drizzle Free,10.044600,LAWSON,In assortment
01110030004908,MD Premium Choco Butternut,17.410700,Deliscents, Inc,In assortment
01110030004909,MD Premium Dutch Choco Crunch,17.410700,Deliscents, Inc,In assortment
01110030004912,Red Velvet,26.785699,BAKERELLA TRADING,Out of assortment
01110030004913,Salted Caramel,26.785700,BAKERELLA TRADING,In assortment
01110030004914,Chocolate Mousse,26.785700,BAKERELLA TRADING,In assortment
01110030004987,Dorayaki Chocolate,17.850000,QBites Inc.,In assortment
01110030004988,Dorayaki Caramel,17.850000,QBites Inc.,In assortment
01110030004989,Bacon Cheeseburger,37.500000,QBites Inc.,In assortment
01110030004990,Doraemon Cupcake,26.790000,BAKERELLA TRADING,Out of assortment
01110030004991,Dorayaki Chocolate w/ Blue Lemonade 16oz,26.862790,LAWSON,Out of assortment
01110030004992,Dorayaki Caramel w/ Blue Lemonade 16oz,26.862790,LAWSON,Out of assortment
01110030004993,Bacon Cheeseburger w/ Blue Lemonade 16oz,44.787000,LAWSON,Out of assortment
01110030004994,Doraemon Cupcake w/ Blue Lemonade 16oz,35.802790,LAWSON,Out of assortment
01110030005058,LB Pork Binagoongan Sisig P32,20.540000,Verleo Food Ent. (Chow Queen),In assortment
01110030005059,LB Beef Pares P32,20.540000,Verleo Food Ent. (Chow Queen),In assortment
01110030005060,LB Creamy Embutido P39,22.320000,Verleo Food Ent. (Chow Queen),In assortment
01110030005061,LB Shawarma Rice P39,22.320000,Verleo Food Ent. (Chow Queen),In assortment
01110030005062,LB Hawaiian Chicken P45,27.680000,Verleo Food Ent. (Chow Queen),In assortment
01110030005063,LB Asian Pork Stew P45,27.680000,Verleo Food Ent. (Chow Queen),In assortment
01110030005080,Bacon and Cheese Sandwich,26.785700,Beatrice Kitchen Inc.,In assortment
01110030005124,MD Gold Cookies & Cream,17.410000,Deliscents, Inc,In assortment
01110030005125,MD Gold Dark Chocolate,17.410000,Deliscents, Inc,In assortment
01110030005242,B-Christmas Cookie,20.535700,BAKERELLA TRADING,In assortment
01110030005243,B-Christmas Brownies,40.178600,BAKERELLA TRADING,In assortment
01110030005281,Holiday Dessert - Cakesickle,33.928500,BAKERELLA TRADING,In assortment
01110030005282,Holiday Dessert - Mini Cake Roll,33.928500,BAKERELLA TRADING,In assortment
01110030005390,Mocha Cake - Half Roll,102.678500,ATASHA'S PASTRY STATION,In assortment
01110030005391,Black Forest Cake - Half Roll,102.678500,ATASHA'S PASTRY STATION,In assortment
01110060000022,Tuna Sandwich,32.392900,Beatrice Kitchen Inc.,In assortment
01110060000023,Chicken Teriyaki Sandwich B,30.544600,Beatrice Kitchen Inc.,In assortment
01110060000024,Ham Sandwich,21.919600,Beatrice Kitchen Inc.,In assortment
01110060000025,Ham & Egg Sandwich BK,24.991100,Beatrice Kitchen Inc.,In assortment
01110060000026,Ham & Cheese Sandwich BK,24.392900,Beatrice Kitchen Inc.,In assortment
01110060000027,Ham Pesto and Cheese Premium Sandwich,27.767900,Beatrice Kitchen Inc.,In assortment
01110060000030,Spaghetti,34.250000,Beatrice Kitchen Inc.,In assortment
01110060000031,Carbonara,37.026800,Beatrice Kitchen Inc.,Out of assortment
01110060000032,Baked Mac,34.250000,Beatrice Kitchen Inc.,In assortment
01110060000033,Lasagna,34.250000,Beatrice Kitchen Inc.,In assortment
01110060000036,Garden Salad,21.000000,QBites Inc.,In assortment
01110060000042,Macaroni Salad,24.000000,QBites Inc.,In assortment
01110060000045,Corned Beef  Pandesal,23.142900,Beatrice Kitchen Inc.,In assortment
01110060000051,Pizza Bread,25.267900,Breadtalk Philippines. Inc.,Out of assortment
01110060000054,Salted Caramel Parmesan,25.892800,Breadtalk Philippines. Inc.,Out of assortment
01110060000056,Chocolate Dozo,25.267900,Breadtalk Philippines. Inc.,In assortment
01110060000057,Peppered Ham and Cheese,25.267900,Breadtalk Philippines. Inc.,In assortment
01110060000059,Coco Bundle,-1.000000,Breadtalk Philippines. Inc.,Out of assortment
01110060000061,Mini Cheese Boat,25.267900,Breadtalk Philippines. Inc.,Out of assortment
01110060000062,GD Pastillas de Leche,12.000000,The Doughnut People Inc.,In assortment
01110060000063,Rocky Road,12.000000,The Doughnut People Inc.,In assortment
01110060000064,Black Forest,12.000000,The Doughnut People Inc.,In assortment
01110060000065,Cookie Butter,12.000000,The Doughnut People Inc.,In assortment
01110060000066,Chocolate Frost,12.000000,The Doughnut People Inc.,In assortment
01110060002412,Cocktail Bun,25.892800,Breadtalk Philippines. Inc.,Out of assortment
01110060002414,BT-Mini Cheese Balls,25.892800,Breadtalk Philippines. Inc.,In assortment
01110060002826,GD Ube Jam,12.000000,The Doughnut People Inc.,In assortment
01110060002827,Calamansi Cream,12.000000,The Doughnut People Inc.,In assortment
01110060002828,GD Bavarian,12.000000,The Doughnut People Inc.,Out of assortment
01120030000195,Special Chicken Empanada,14.285700,Verleo Food Ent. (Chow Queen),In assortment
01120030000196,LongPao Chicken Ala King,24.105111,EST Dimsum Inc.,In assortment
01120030000197,LongPao Braised Pork,25.892878,EST Dimsum Inc.,In assortment
01120030000199,Long Siopao Chicken Ala King 8pcs/pack,24.105111,EST Dimsum Inc.,In assortment
01120030000200,Long Siopao Braised Pork  8pcs/pack,25.892878,EST Dimsum Inc.,Raw material
01120030000405,Popcorn Plain,82.589000,LAWSON,In assortment
01120030000425,QB 6pcs Fried Chicken Party Pack,191.411064,LAWSON,In assortment
01120030000469,Popcorn Plain Disposal 1g only,0.082600,LAWSON,Raw material
01120030000652,TJ Hotdog Sandwich Classic 8in New,21.149272,LAWSON,In assortment
01120030000653,TJ Hotdog Sandwich Cheese 8in New,21.746411,LAWSON,In assortment
01120030000736,Steamed Siomai 4pcs/stick,16.964300,LAWSON,In assortment
01120030000737,Steamed Sharksfin 4pcs/stick,16.964300,LAWSON,In assortment
01120030000810,Chicken Katsu Mozza Mayo,19.642900,LAWSON,In assortment
01120030000812,Chicken Katsu Mozza M. w/UnliRice,25.257934,LAWSON,In assortment
01120030000832,German Franks 8" Fried,24.074321,LAWSON,In assortment
01120030000834,German Franks Sandwich 8",28.806421,LAWSON,In assortment
01120030001211,German Franks 8" w/ Unli Rice,29.689356,LAWSON,In assortment
01120030001269,DSF German Franks 1pc,32.953125,LAWSON,In assortment
01120030001506,2 Fried Chicken w/ Unlimited Rice,66.651300,LAWSON,In assortment
01120030001559,Asado Siopao (Large)   W,25.450000,LAWSON,In assortment
01120030001560,Bola - Bola Siopao (Large)  W,25.450000,LAWSON,In assortment
01120030001694,Dory Fish Ball 5pcs/stick,9.843800,LAWSON,Out of assortment
01120030001726,Add-on Lady's Choice Real Mayo 10ml,2.545000,LAWSON,In assortment
01120030001760,Chicken Katsu Tomato Mayo Jalapeño,20.587300,LAWSON,Out of assortment
01120030001761,Chicken Katsu TomatoMayoJalapeño Unli Rice,27.551383,LAWSON,Out of assortment
01120030001763,Chicken Nuggets Ala Carte,19.196430,LAWSON,In assortment
01120030001764,Chicken Nuggets with Unlimited Rice,24.811464,LAWSON,In assortment
01120030001812,Karaage 4pcs. with Unlimited Rice,36.448584,LAWSON,In assortment
01120030001884,SM Fried Chicken 1pc,29.105342,LAWSON,In assortment
01120030001985,QB Fried Chicken 1pc w/ Unli Rice,38.293944,LAWSON,In assortment
01120030001986,SM Fried Chicken 1pc w/ Unli Rice,34.739542,LAWSON,In assortment
01120030001991,Special Chicken Empanada 1pc Disposal,14.285700,LAWSON,In assortment
01120030002039,DSF SM Fried Chicken 1pc,29.105500,LAWSON,In assortment
01120030002073,Chicken Teriyaki Siopao,26.785700,LAWSON,In assortment
01120030002525,Home Style Chicken w/ Unli Rice,50.257834,LAWSON,In assortment
01120030002526,Home Style Chicken & Unli Rice w/ Nestle Dalandan 16oz,63.884900,LAWSON,Out of assortment
01120030002553,Home Style Chicken & Unli Rice w/ Nestle Cucumber 16oz,62.107219,LAWSON,In assortment
01120030002554,Home Style Chicken & Unli Rice w/ Nestle Lemonade 16oz,62.994900,LAWSON,Out of assortment
01120030002555,Home Style Chicken &Unli Rice w/ NestleBlueLemonade16oz,62.122609,LAWSON,In assortment
01120030002556,2 Fried Hotdog Classic w/ Nestle Cucumber 12oz,39.780000,LAWSON,In assortment
01120030002561,2 Fried Hotdog Cheese w/ 2 Nestle Cucumber 12oz,36.556600,LAWSON,In assortment
01120030002565,2 Hotdog Sandwich Classic w/  2 Nestle Cucumber 12oz,47.581198,LAWSON,In assortment
01120030002572,2 Hotdog Sandwich Cheese w/  2 Nestle Cucumber 12oz,50.990472,LAWSON,In assortment
01120030002741,Home StyleChicken & Unli Ricew/Nestle PinkLemonade16oz,62.191285,LAWSON,In assortment
01120030002888,LongPao Tuna,24.553500,LAWSON,Out of assortment
01120030002891,SM Fried Chicken w/ Unlimited Garlic Rice NI,63.151000,LAWSON,In assortment
01120030002909,Long Siopao Tuna 8pcs/pack,24.553500,EST Dimsum Inc.,Out of assortment
01120030002924,Fried Chicken 1pc with Sweet Zesty Glaze & Unli Rice,40.632200,LAWSON,Out of assortment
01120030002925,Fried Chicken 1pc with Smokey Soy & Unli Rice,38.685800,LAWSON,Out of assortment
01120030003109,Home StyleChicken & Unli Ricew/Nestle Guyabano16oz,61.425984,LAWSON,In assortment
01120030003157,Junior Asado Siopao,17.857100,LAWSON,In assortment
01120030003158,Junior Bola-Bola Siopao,17.857100,LAWSON,In assortment
01120030003239,Hotdog Sandwich Cheese w/ Iced Tea 16oz,27.598520,LAWSON,Out of assortment
01120030003244,Hotdog Sandwich Classic w/ Iced Tea 16oz,25.893876,LAWSON,Out of assortment
01120030003245,Crispy Burger w/ Unli Rice,22.578405,LAWSON,In assortment
01120030003246,Crispy Burger 3pcs,16.963371,LAWSON,In assortment
01120030003288,SM Spicy Fried Chicken 1pc,29.777300,LAWSON,In assortment
